0,1,2,3,4,5,6,7,8
uf5.012,43 - 115 m² útiles,1 - 3 dormitorios,1 - 2 baños,"pucará 5535, ñuñoa",edificio pucará,,venta,departamentos
"uf2.563,26",28 - 70 m² útiles,1 - 3 dormitorios,1 - 2 baños,"exequiel fernández 3876, macul",eco quilín i,,venta,departamentos
tour virtual,33 - 78 m² útiles,1 - 3 dormitorios,1 - 2 baños,"américo vespucio 7550, vicente valdés, la florida",edificio las acacias la florida,,venta,departamentos
tour virtual,62 - 79 m² útiles,2 - 3 dormitorios,2 baños,"general bulnes 7, reñaca, reñaca, viña del mar",edificio novopark,,venta,departamentos
tour virtual,121 - 140 m² útiles,3 - 4 dormitorios,3 - 4 baños,"av. santa elena 1960, chicureo, colina",condominio kaiken,,venta,casas
uf13.900,196 - 245 m² útiles,3 - 4 dormitorios,3 - 4 baños,"av josé rabat 12.000, piedra roja., chicureo, colina",alto polkura,,venta,casas
tour virtual,341 - 366 m² útiles,4 - 5 dormitorios,5 baños,"algarrobo 105, chicureo, colina",viñas de chicureo,,venta,casas
tour virtual,181 - 187 m² útiles,3 - 5 dormitorios,3 - 5 baños,"avenida josé rabat 8.600, chicureo, colina",aguapiedra,,venta,casas
uf4.500,80 - 101 m² útiles,3 dormitorios,3 baños,"canal la luz oriente 1000, las vizcachas, puente alto",mirador vizcachas,,venta,casas
uf5.468,95 m² útiles,3 dormitorios,3 baños,"santa filomena, chicureo, colina",parque alihuen,,venta,casas
tour virtual,69 - 134 m² útiles,3 - 4 dormitorios,3 baños,"av. concha y toro paradero 35 1/2, puente alto",ciudad del sol,,venta,casas
tour virtual,52 - 59 m² útiles,2 - 3 dormitorios,2 baños,"camino buin maipo 2063, buin",umbrales de buin,,venta,casas
uf3.220,65 - 80 m² útiles,3 dormitorios,2 - 3 baños,"san ceferino 1757, maipú",barrio oeste de maipú,,venta,casas
tour virtual,56 - 75 m² útiles,3 - 4 dormitorios,1 - 2 baños,"maipú  898, buin",los ciruelos de buin,,venta,casas
uf2.801,58 - 98 m² útiles,3 dormitorios,2 - 3 baños,"san carlos norte 02128, plaza viva, puente alto",casas hacienda conquistadores puente alto,,venta,casas
uf7.390,105 - 181 m² útiles,3 - 4 dormitorios,3 - 4 baños,"camino del monte 6318, lo cañas - alto macul, la florida",alto macul,,venta,casas
uf3.316,65 m² útiles,3 dormitorios,2 baños,"av. santa herminia esquina el muelle, laguna del sol, padre hurtado",condominio santa herminia,,venta,casas
uf3.022,59 - 66 m² útiles,3 dormitorios,2 baños,"av. los suspiros 16.561, san bernardo",condominio casas del parque 7 san bernardo,,venta,casas
uf4.670,64 - 80 m² útiles,3 dormitorios,2 - 3 baños,"marlen bozán 1500, buin",condominio aires de buin,,venta,casas
uf4.277,82 - 101 m² útiles,3 dormitorios,2 baños,"camino buin - alto jahuel 1497, buin",condominio plaza buin,,venta,casas
tour virtual,96 - 120 m² útiles,3 dormitorios,3 baños,"av. la montaña norte 3650, valle grande, lampa",laguna norte,,venta,casas
uf4.665,78 - 117 m² útiles,3 dormitorios,3 baños,"camino longitudinal ruta 5 sur 3020 lta-2, linderos, buin",quinta linderos condominio los almendros,,venta,casas
uf3.554,78 - 84 m² útiles,2 - 3 dormitorios,2 - 3 baños,"av. la montaña 3650, valle grande, lampa",condominio casas del rahue,,venta,casas
uf4.290,80 - 122 m² útiles,3 - 4 dormitorios,3 baños,"ruta sur 2110 km 36, salida a linderos, linderos, buin",alto sacramento,,venta,casas
uf3.422,65 - 84 m² útiles,3 dormitorios,2 - 3 baños,"juan de dios malebrán 3595, sótero del río, puente alto",condominio newén,,venta,casas
uf6.950,117 - 140 m² útiles,3 dormitorios,3 baños,"santa filomena esquina san luis, las brisas norte, chicureo, colina",taiquén,,venta,casas
uf9.800,183 m² útiles,4 dormitorios,4 baños,"juan de dios vial correa 4310, las pircas, peñalolén",terraplus,,venta,casas
tour virtual,120 - 138 m² útiles,3 dormitorios,3 baños,"av. santa elena 278, chicureo, colina",valle nogales,,venta,casas
uf7.575,53 - 136 m² útiles,2 - 3 dormitorios,1 - 3 baños,"caletera oriente general san martín km 17, chicureo, colina",condominio los nidales de las calandrias,,venta,casas
tour virtual,139 - 157 m² útiles,3 dormitorios,3 baños,"av. josé rabat 9620, piedra roja, chicureo, colina",aguas claras,,venta,casas
uf11.278,145 - 179 m² útiles,3 - 4 dormitorios,3 - 4 baños,"av. josé rabat 9960, chicureo, colina",alkura piedra roja,,venta,casas
uf5.438,95 m² útiles,3 dormitorios,3 baños,"general san martín esq. río claro, valle grande, lampa",los cipreses - barrio privado,,venta,casas
uf39.800,397 m² útiles,3 dormitorios,4 baños,"panorámica sur 12.290, la dehesa, lo barnechea",los nogales,,venta,casas
tour virtual,72 - 90 m² útiles,3 dormitorios,3 baños,"camino nos a los morros 655, nos, san bernardo",arrayanes de nos,,venta,casas
tour virtual,79 - 86 m² útiles,3 dormitorios,2 - 3 baños,"camino el arpa 1480, buin",convet condominio los almendros de buin ii,,venta,casas
uf7.290,117 - 128 m² útiles,3 dormitorios,3 baños,"santa elena 200, chicureo, colina",condominio las loicas,,venta,casas
uf2.985,66 - 114 m² útiles,3 dormitorios,2 - 4 baños,"rené olivares becerra 3179, nueva san martín, maipú",las catalpas ii,,venta,casas
uf9.500,125 - 145 m² útiles,3 - 4 dormitorios,4 baños,"plazoleta tres 5163, peñalolén",plazoleta townhouses,,venta,casas
tour virtual,122 - 137 m² útiles,3 dormitorios,3 baños,"av. mariano sánchez fontecilla 13.000, quilín - cousiño macul, peñalolén",urban towns,,venta,casas
uf12.447,174 - 222 m² útiles,4 - 5 dormitorios,4 - 5 baños,"av. chamisero 16.663, chicureo, colina",condominio terralta chamisero chicureo,,venta,casas
uf10.890,139 m² útiles,4 dormitorios,3 baños,"general bulnes 85, reñaca, reñaca, viña del mar",casa reñaca barrio privado,,venta,casas
tour virtual,129 - 139 m² útiles,3 dormitorios,3 baños,"carretera general san martín km 16,5 con av. rukán, chicureo, colina",condominio rukan,,venta,casas
tour virtual,196 - 242 m² útiles,5 - 6 dormitorios,5 baños,"josé rabat 11900, piedra roja, chicureo, colina",siena canquén norte 4,,venta,casas
tour virtual,139 m² útiles,3 dormitorios,3 baños,"av. josé rabat 8600, chicureo, colina",los robles,,venta,casas
tour virtual,82 - 90 m² útiles,3 dormitorios,2 baños,"calle unión 790, villa alemana",altos de rumié,,venta,casas
uf4.150,99 - 130 m² útiles,3 dormitorios,3 baños,"camino longitudinal ruta 5 sur 2001, linderos, buin",hacienda limay,,venta,casas
uf18.320,139 m² útiles,3 dormitorios,4 baños,"roberto peragallo 5692, las condes",townhouse peragallo,,venta,casas
uf22.450,230 - 316 m² útiles,4 dormitorios,4 baños,"av. juan pablo ii 7897, los trapenses, lo barnechea",vista los bravos,,venta,casas
uf10.780,240 m² útiles,4 dormitorios,4 baños,"juan de dios vial correa 4280, las pircas, peñalolén",las terrazas de las pircas,,venta,casas
uf14.630,192 - 222 m² útiles,4 dormitorios,4 baños,"av. guay guay 10.701, chicureo, colina",condominio terralta guay guay chicureo,,venta,casas
tour virtual,170 - 192 m² útiles,4 dormitorios,3 baños,"av. chamisero 17.860, chicureo, colina",brisas del canto,,venta,casas
uf3.680,81 - 88 m² útiles,3 dormitorios,3 baños,"av. circunvalación sur km.13 (ex camino a paillao), valdivia",reina isabel,,venta,casas
uf2.209,50 - 72 m² útiles,3 dormitorios,1 - 2 baños,"av. valparaíso 1804, centro de quillota, quillota",convet barrio los maitenes,,venta,casas
tour virtual,70 - 85 m² útiles,3 dormitorios,2 - 3 baños,"av. la florida 268, centro de san esteban, san esteban",convet barrio las vizcachas de san esteban,,venta,casas
uf2.000,108 - 110 m² útiles,3 dormitorios,2 baños,"km 435, ruta 5 norte, guanaquero, coquimbo",condominio las mostazas,,venta,sitios
uf1.800,676 - 951 m² totales,"av. los pescadores 1855, horcón, horcón, puchuncaví",bosques ii,,venta,sitios,,
uf1.900,"5,000 - 8,548 m² totales","hijuela norte, sector b hacienda tanumé, pichilemu",quincheumo,,venta,sitios,,
uf2.500,"5,000 m² totales","puerto klocker s/n, puerto octay",puerto klocker,,venta,sitios,,
uf600,25 - 363 m² útiles,1 - 2 dormitorios,1 baño,"ruta t-849 km 1.9, río bueno",vista el caulle,,venta,sitios
uf5.900,56 - 79 m² útiles,3 dormitorios,1 - 2 baños,lo barnechea,chaguay,,venta,sitios
uf1.990,"5,008 - 7,012 m² totales","graneros de puerto varas s/n, puerto varas",graneros de puerto varas,,venta,sitios,,
uf11.940,"800 - 2,221 m² totales","paseo los bravos 4505, los trapenses, lo barnechea",condominio privado fundo la dehesa,,venta,sitios,,
"uf1.465,30","5,000 m² totales","fundo el rincón a, frutillar",fundo praderas de frutillar,,venta,sitios,,
uf11.000,39 - 78 m² útiles,1 - 2 dormitorios,1 - 2 baños,"carretera f–30–e s/n, el pangue alto, zapallar",loteo fundo zapallar,,venta,sitios
uf774,"557 - 7,317 m² totales","camino pucón a curarrehue hijuelas n°6, camino a villarrica, pucón",bosque pucón,,venta,sitios,,
uf1.500,"5,000 - 5,231 m² totales","la pellinada de rupanco, puerto octay",loteo la pellinada,,venta,sitios,,
uf1.726,27 - 42 m² útiles,1 dormitorio,1 baño,"la guardia s/n, colbún",condominio nogales de colbún,,venta,sitios
uf7.569,"1,009 m² totales","av. pie de monte 2800, andalué, san pedro de la paz",fundo el venado,,venta,sitios,,
uf3.300,"20,000 - 54,000 m² totales","ruta 834 s/n, las dichas, casablanca",bosques de la laguna,,venta,sitios,,
uf2.915,"4,028 - 5,932 m² totales","camino línea nueva km 2, puerto varas",reserva santa clara,,venta,sitios,,
uf2.700,50 m² útiles,1 dormitorio,1 baño,"ruta f30 e 12010, mantagua, mantagua, quintero",parque norte mantagua,,venta,sitios
uf6.990,"10,000 m² totales","puerto caiquenes s/n, lago ranco, futrono",puerto caiquenes,,venta,sitios,,
uf4.900,"5,000 m² totales","camino chauquén km 3, lago panguipulli, panguipulli",bahía panguipulli,,venta,sitios,,
"uf304,11","5,000 - 30,369 m² totales","fundo cheñue, sector hualaihué cheñue, hualaihué",reserva fundo cheñue,,venta,sitios,,
uf1.979,"5,000 m² totales","loteo costa calán, pelluhue, pelluhue",costa calán,,venta,sitios,,
uf17.800,"2,059 - 5,831 m² totales","camino del colibrí 7996, lo curro, vitacura",altos del cóndor,,venta,sitios,,
uf2.236,"50 - 1,422 m² totales","camino del medio km 1,6, san fernando",parcelación las rosas de san fernando,,venta,sitios,,
uf69.960,"4,240 m² totales","los dominicos- camino otoñal- la fuente, san carlos de apoquindo, las condes",,sitio en venta en las condes,venta,sitios,,
uf1.517,884 ha totales,"h-790, las cabras, o'higgins, chile, lago rapel, el estero - el manzano, las cabras",,,venta,sitios,,
uf8.990,"5,000 m² totales","polo de manquehue, chicureo, colina, chile, chicureo, colina",,,venta,sitios,,
uf2.900,820 m² totales,"av. la cumbre 158, tomé, bío bío, chile, pingueral, tomé",,,venta,sitios,,
uf4.850,658 m² totales,"lo pequen 988, concepción, bío bío, chile, barrio universitario, concepción",,,venta,sitios,,
$200.000.000,"3,398 m² totales","km 3,5 camino a santa juana, san pedro de la paz",,,venta,sitios,,
uf8.320,"3,200 m² totales","venta terreno vista al mar la herradura (la puntilla), la herradura, coquimbo",,,venta,sitios,,
uf12.200,520 m² totales,"terreno muelle privado la herradura la puntilla, la herradura, coquimbo",,,venta,sitios,,
$155.000.000,800 m² totales,"callejón michimalongo 175, rengo",,,venta,sitios,,
uf3.500,750 m² totales,"maitencillo, puchuncaví, chile, maitencillo, puchuncaví",,,venta,sitios,,
uf5.500,"6,870 m² totales","santa luisa de los ingleses, chicureo, colina",,sitio en venta en colina,venta,sitios,,
uf20.733,"3,532 m² totales","terreno con excelentes vistas la puntilla la herradura, la herradura, coquimbo",,,venta,sitios,,
uf24.365,"4,800 m² totales","barrio industrial peñuelas, tierras blancas, coquimbo",,,venta,sitios,,
uf23,"1,706 m² totales","bezanilla - metro hospitales, hospitales, independencia",,,venta,sitios,,
$9.767.048,"7,072 m² totales","metrenquen 10, centro de puerto montt, puerto montt",,,venta,sitios,,
uf7.083,"6,199 m² totales","santa maria de chamisero ii, colina",,sitio en venta en colina,venta,sitios,,
uf9,"1,428 m² totales","el golf de manquehue, los trapenses, lo barnechea",,,venta,sitios,,
uf20.000,"1,800 m² totales","el refugio 15120, el arrayán, lo barnechea",,,venta,sitios,,
$80.000.000,"3,350 m² totales","molinos quemados, rancagua",,,venta,sitios,,
$57.000.000,350 m² totales,"el alerce 1444, algarrobo, chile, algarrobo",,,venta,sitios,,
uf19.328,"1,333 m² totales","gran vista - excelente terreno - sector punta de aguila, los trapenses, lo barnechea",,,venta,sitios,,
$72.900.000,"1,000 m² totales","santa adela 1000, mantagua, quintero",,,venta,sitios,,
uf37.680,"1,082 m² totales","cuevas 731, centro de rancagua, rancagua",,,venta,sitios,,
uf6.622,602 m² totales,"santa sofia 110, montemar, concón",,,venta,sitios,,
uf90.699,"5,000 m² totales","espectacular terreno pasaje cerrado sector plano santa maria manquehue (salen hasta 5 casas), lo curro, vitacura",,espectacular terreno pasaje cerrado sector plano santa,venta,sitios,,
uf15.488,"1,936 m² totales","ramón de la cerda 390, limache, chile, san francisco de limache, limache",,,venta,sitios,,
uf69.000,"2,760 m² totales","alcalde pedro alarcon con santa rosa, el llano, san miguel",,,venta,sitios,,
$7.840.000,"5,000 m² útiles","los muermos, chile, los muermos",,,venta,parcelas,,
uf10.000,"5,800 m² útiles",5 dormitorios,"santa filomena 96, melipilla, chile, melipilla",,,venta,parcelas,
uf1.650,"5,000 m² útiles","u-99-v 44, puerto octay, los lagos, chile, puerto octay",,,venta,parcelas,,
$8.840.000,"5,000 m² útiles",20 dormitorios,"los muermos, chile, los muermos",,,venta,parcelas,
uf18.900,750 m² útiles,10 dormitorios,"doña inés del oliveto, calera de tango, chile, el oliveto, talagante",,,venta,parcelas,
uf10.500,209 m² útiles,4 dormitorios,"unnamed road, limache, valparaíso, chile, limache",,,venta,parcelas,
$22.000.000,"5,000 m² útiles","g-916, san antonio, valparaíso, chile, san antonio",,,venta,parcelas,,
$65.000.000,3 m² útiles,"lomas de angol, cabrero, chile, cabrero",,,venta,parcelas,,
uf5.300,"50,000 m² útiles",5 dormitorios,"quebrada de alvarado, olmué, chile, quebrada alvarado, olmué",,,venta,parcelas,
uf59.000,"11,196 m² útiles",7 dormitorios,"unnamed road, panguipulli, los ríos, chile, lago calafquén, panguipulli",,,venta,parcelas,
$59.300.000,"6,200 m² útiles","v-613, puerto varas, los lagos, chile, camino a ensenada, puerto varas",,,venta,parcelas,,
$24.990.000,"5,000 m² útiles","bucalemu, paredones, chile, bucalemu, paredones",,,venta,parcelas,,
uf500,"5,000 m² útiles","ruta 5, ancud, los lagos, chile, ancud",,,venta,parcelas,,
$28.000.000,"5,000 m² útiles","t-145, panguipulli, los ríos, chile, panguipulli",,,venta,parcelas,,
$87.000.000,"5,000 m² útiles","puerto varas, chile, centro de puerto varas, puerto varas",,,venta,parcelas,,
$90.000.000,95 m² útiles,4 dormitorios,"el convento, santo domingo, chile, santo domingo",,,venta,parcelas,
$28.000.000,"5,000 m² útiles","unnamed road, frutillar, los lagos, chile, frutillar",,,venta,parcelas,,
uf1.650,"5,000 m² útiles","unnamed road, puerto varas, los lagos, chile, camino a ensenada, puerto varas",,"parcela puerto varas, los lagos, chile",venta,parcelas,,
uf990,"4,700 m² útiles","v-609, puerto varas, los lagos, chile, puerto varas",,,venta,parcelas,,
$4.000.000,"5,000 m² totales","parcelas fundo tregualemu 30, cobquecura",,,venta,parcelas,,
$14.990.000,1 m² útiles,"camino yali alto, santo domingo",,,venta,parcelas,,
uf10.990,270 m² útiles,5 dormitorios,"reserva de huilquilemu 61, talca",,,venta,parcelas,
$191.000.000,"5,077 m² totales","las encinas 1084, chicureo, colina",,,venta,parcelas,,
uf7.500,237 m² útiles,4 dormitorios,"fundo santa maría, algarrobo, chile, algarrobo",,,venta,parcelas,
$295.000.000,295 m² útiles,5 dormitorios,"lo orozco, casablanca",,,venta,parcelas,
uf10.900,300 m² útiles,4 dormitorios,"las golondrinas 26, talagante, chile, talagante",,,venta,parcelas,
$179.000.000,134 m² útiles,4 dormitorios,"avenida los laureles sector el maqui, limache",,,venta,parcelas,
$14.425.000,1 m² útiles,"camino a las viñas peralillo, hualañé",,,venta,parcelas,,
$60.000.000,"5,000 m² totales","inversiones carral - parcelas a 4 minutos de osorno, osorno",,,venta,parcelas,,
$87.000.000,"5,000 m² totales","parcelas vista lago llanquihue y volcan osorno, centro de puerto varas, puerto varas",,,venta,parcelas,,
$22.000.000,"5,000 m² útiles","camino a san victor alamo, llepu, linares, chile, linares",,,venta,parcelas,,
$87.000.000,"5,000 m² totales","parcelas vista al lago puerto varas, mejor vista garantizada!, puerto varas",,"parcelas vista al lago puerto varas, mejor vista",venta,parcelas,,
$42.000.000,"9,736 m² útiles","f-682, olmué, valparaíso, chile, quebrada alvarado, olmué",,,venta,parcelas,,
uf1.725,"2,500 m² útiles","las petacas, lampa, chile, batuco, lampa",,,venta,parcelas,,
$95.000.000,"5,000 m² totales","parcela plana con vista al mar. camino tunquen.!!, tunquén - el yeco, algarrobo",,,venta,parcelas,,
uf1.053,"10,000 m² útiles","t-645, santa laura, futrono, los ríos, chile, futrono",,,venta,parcelas,,
uf8.325,100 m² útiles,2 dormitorios,"la aurora curacaví, curacaví",,parcela en venta en curacaví,venta,parcelas,
uf22.500,290 m² útiles,4 dormitorios,"cercana al condominio polo 1, frente a comissária chicureo, chicureo, colina",,parcela en venta en colina,venta,parcelas,
uf10.900,"5,100 m² útiles",4 dormitorios,"loma de águila, paine, región metropolitana, chile, hospital - champa, paine",,,venta,parcelas,
$29.900.000,"5,000 m² totales","el convento, santo domingo",,,venta,parcelas,,
uf11.900,220 m² útiles,3 dormitorios,"el oliveto, el oliveto, talagante",,parcela en venta en talagante,venta,parcelas,
$43.000.000,"12,000 m² útiles","condominio los maquis - g-864-f, curacavi, curacaví - ap. 92, curacaví",,"condominio los maquis - g-864-f, curacavi, curacaví - ap.",venta,parcelas,,
uf2.812,100 m² útiles,2 dormitorios,"unnamed road, melipilla, región metropolitana, chile, melipilla",,,venta,parcelas,
uf6.850,36 m² útiles,2 dormitorios,"vendo espectacular terreno de 1 hectárea a 3 minutos de vicuña, vicuña",,vendo espectacular terreno de 1 hectárea a 3 minutos de,venta,parcelas,
$58.000.000,"2,200 m² útiles","camino a huellelhue, valdivia, los ríos, chile, valdivia",,,venta,parcelas,,
uf1.050,"30,000 m² totales","punta los morros - fiordos de aysen (patagonia), aysén",,,venta,parcelas,,
uf12.500,420 m² útiles,6 dormitorios,"condominio santa sara, batuco, lampa",,,venta,parcelas,
$180.000.000,180 m² útiles,3 dormitorios,"unnamed road, villarrica, araucanía, chile, villarrica",,,venta,parcelas,
uf30.002,680 m² útiles,8 dormitorios,"buin, buin zoo, buin",,parcela en venta en buín,venta,parcelas,
uf8.574,315 m² útiles,4 dormitorios,"lote a 12 proyecto los cristales curicó - código sbif: 18240a, curicó",,sbif 18240a - lote a 12 proyecto los cristales curicó,venta,parcelas,
tour virtual,15 - 57 m² útiles,1 - 2 baños,"av. las condes 10465, estoril, las condes",distrito estoril capital,,venta,oficinas,
uf3.583,38 - 60 m² útiles,2 - 4 dormitorios,1 - 2 baños,"rodó 1954, inés de suárez, providencia",arq rodó,,venta,oficinas
uf3.298,33 - 42 m² útiles,1 - 2 dormitorios,1 baño,"bernarda morin 467, salvador, providencia",edificio maría luisa santander,,venta,oficinas
uf2.330,26 - 132 m² útiles,1 - 3 dormitorios,1 - 2 baños,"av. la dehesa 440, la dehesa, lo barnechea",corner offices,,venta,oficinas
uf1.951,24 - 31 m² útiles,1 baño,"reñaca norte 295, reñaca, viña del mar",live oficinas,,venta,oficinas,
uf1.737,21 - 49 m² útiles,1 baño,"av. capitán ramón freire 225, rancagua",edificio plaza el cobre,,venta,oficinas,
uf3.470,"34 - 1,054 m² útiles",1 - 3 dormitorios,1 - 6 baños,"av. las condes 7890, alto las condes, las condes",on-offices,,venta,oficinas
uf2.350,21 - 35 m² útiles,1 baño,"américo vespucio sur 1307, vaticano, las condes",isabel la católica - bussiness center,,venta,oficinas,
uf2.959,29 - 139 m² útiles,1 baño,"avenida apoquindo 7331, las condes",edificio emprendedores,,venta,oficinas,
uf2.248,18 - 46 m² útiles,1 baño,"francisco bilbao 4184, vaticano, las condes",workgroup,,venta,oficinas,
uf6.262,76 - 77 m² útiles,2 baños,"alcalde eduardo castillo velasco 1662, estadio nacional, ñuñoa",castillo velasco,,venta,oficinas,
